@@,itemlabel,item,startdate,enddate
+++,Zaza Chkhaidze,Q60541160,2018-12-20,2019-12-27
+++,Giorgi Matiashvili,Q96775116,2019-12-27,2020-07-01
->,Joni Tatunashvili,Q109623431->NULL,2020-07-09,
