name,position
David Zalkaliani,Vice Prime Minister
David Zalkaliani,Minister of Foreign Affairs of Georgia
Thea Tsulukiani,Vice Prime Minister
Thea Tsulukiani,"Minister of Culture, Sports and Youth of Georgia"
Levan Davitashvili,Vice Prime Minister
Levan Davitashvili,Minister of Environment Protection and Agriculture of Georgia
Lasha Khutsishvili,Minister of Finance of Georgia
Irakli Karseladze,Minister of Regional Development and Infrastructure of Georgia
Rati Bregadze,Minister of Justice of Georgia
Vakhtang Gomelauri,Minister of Internal Affairs of Georgia
Juansher Burchuladze,Minister of Defence of Georgia
Natela Turnava,Minister of Economy and Sustainable Development of Georgia
Mikheil Chkhenkeli,Minister of Education and Science of Georgia
Ekaterine Tikaradze,"Minister of Internally Displaced Persons from the Occupied Territories, Labour, Health and Social Affairs of Georgia"
Tea Akhvlediani,State Minister of Georgia for Reconciliation and Civic Equality
