position,title
Q843405,President
Q1975365,Prime Minister
Q109623194,Vice Prime Minister
Q108377073,Minister of Agriculture
Q108379548,Minister of Corrections
Q108377847,Minister of Culture and Sports
Q109623168,"Minister of Culture, Sports and Youth"
Q108378098,Minister of Defence
Q19967450,Minister of Defense
Q108370218,Minister of Economy and Sustainable Development
Q108376607,Minister of Education and Science
Q61666950,Minister of Energy
Q108377218,Minister of the Environment
Q71971342,Minister of Finance
Q108368702,Minister of Foreign Affairs
Q108376722,Minister of Health
Q88039626,Minister of Internal Affairs
Q94984555,Minister of Justice
Q108379621,Minister for Reconciliation and Civic Equality
Q108377572,Minister of Regional Development and Infrastructure
Q3652076,Chairperson of the Parliament
Q60524626,Chief of General Staff
Q109623456,Governor of the National Bank
Q3486648,Mayor of Tbilisi
