position,title
Q61709261,ambassador to Azerbaijan
Q111496353,ambassador to Belarus
Q40338245,ambassador to Canada
Q107420110,ambassador to Finland
Q76009593,ambassador to France
Q75993396,ambassador to Germany
Q105453307,ambassador to Japan
Q75994948,ambassador to the Netherlands
Q27623811,ambassador to the People's Republic of China
Q27652310,ambassador to the Russian Federation
Q76010039,ambassador to the United Kingdom
Q30591836,ambassador to the United States of America
Q26996073,ambassador to the Holy See
Q28547249,permanent Representative to the United Nations
Q30082250,ambassador of Georgia
