item,itemLabel,startDate,endDate
,Tamaz Vashadze,1991-10-02,1992-01-06
,Otar Litanishvili,1992-01-06,1993-01-21
Q6322997,Konstantine Gabashvili,1993-01-21,1993-10-16
Q3506301,Nikoloz Lekishvili,1993-10-16,1995-12-08
Q24008058,Badri Shoshitaishvili,1995-12-08,1998-08-08
Q24008059,Ivane (Vano) Zodelava,1998-08-10,2004-04-19
Q324649,Zurab Tchiaberashvili,2004-04-19,2005-07-12
Q969642,Giorgi (Gigi) Ugulava,2005-07-12,2013-12-22
,Sevdia Ugrekhelidze,2013-12-22,2014-08-02
Q17481730,David Narmania,2014-08-02,2017-11-13
Q192031,Kakha Kaladze,2017-11-13,
