@@,itemlabel,item,startdate,enddate
->,Zurab Zhvania,Q312493,1995-11-25,2001-11-01->1999-11-20
+++,Zurab Zhvania,Q312493,1999-11-20,2001-11-01
->,Nino Burjanadze,Q229493,2001-11-09,2008-06-07->2004-04-22
+++,Nino Burjanadze,Q229493,2004-04-22,2008-06-07
+++,Davit Bakradze,Q673705,2008-06-07,2012-10-21
+++,David Usupashvili,Q1178707,2012-10-21,2016-11-18
+++,Irakli Kobakhidze,Q27885302,2016-11-18,2019-06-21
+++,Tamar Chugoshvili,Q64760798,2019-06-21,2019-06-25
->,Tamar Chugoshvili->Archil Talakvadze,Q64827520,2019-06-25,2021-04-24
->,Kakha Kuchava->Kakha Kutchava,Q31355070,2021-04-27,2021-12-24->NULL
---,Shalva Papuashvili,Q106528743,2021-12-29,
