position,person,personID,start,end
President,Salome Zurabishvili,Q272416,2018-12-16,
Prime Minister,Irakli Gharibashvili,Q6066533,2021-02-22,
Vice Prime Minister,Levan Davitashvili,Q31354638,2017-12-15,
Vice Prime Minister,Tea Tsulukiani,Q13589522,2021-03-22,
"Minister of Culture, Sports and Youth",Tea Tsulukiani,Q13589522,2021-03-22,
Minister of Defence,Juansher Burchuladze,Q106094877,2021-02-22,
Minister of Economy and Sustainable Development,Levan Davitashvili,Q31354638,2022-02-09,
Minister of Education and Science,Mikheil Chkhenkeli,Q65285987,2019-11-13,
Minister of Environmental Protection and Agriculture,Otar Shamugia,Q110915463,2022-02-09,
Minister of Finance,Lasha Khutsishvili,Q106522763,2021-04-01,
Minister of Foreign Affairs,Ilia Darchiashvili,Q111487495,2022-04-04,
Minister of Health,Zurab Azarashvili,Q110420479,2021-12-27,
Minister of Internal Affairs,Vakhtang Gomelauri,Q20557144,2019-09-08,
Minister of Justice,Rati Bregadze,Q106522784,2021-04-01,
Minister for Reconciliation and Civic Equality,Tea Akhvlediani,Q104904062,2020-08-06,
Minister of Regional Development and Infrastructure,Irakli Karseladze,Q106522864,2021-02-22,
Chairperson of the Parliament,Shalva Papuashvili,Q106528743,2021-12-29,
Chief of General Staff,Joni Tatunashvili,Q109623431,2020-07-09,
Chief of the State Security Service,Grigol Liluashvili,Q105729181,2019-10-17,
Governor of the National Bank,Koba Gvenetadze,Q25433264,2016-03,
Mayor of Tbilisi,Kakha Kaladze,Q192031,2017-11-13,
