wanted,position,positionid,from,start,end
Q20557144,Chief of the State Security Service,Q109626524,Q105729181,2019-10-17,
Q24008067,Vice Prime Minister,Q109623194,Q43287680,2018-07-17,2019-09-08
Q105665362,ambassador to the United States of America,Q30591836,Q18638152,2016-12-05,2022-04-04
Q8075559,Member of the Parliament of Georgia,Q21290878,Q64827520,2016-11-18,
Q58820281,Minister of the Environment,Q108377218,Q25541313,2015-05-01,2017-12-15
Q2874624,Prime Minister,Q1975365,Q312493,2003-11-27,2004-02-17
